code,gu,dong,older,disableratio,fireratio,bankratio,seniorcenterratio,movinginrartio,movingoutratio
강북구수유2동,강북구,수유2동,676,0.045787467,0.000342656,8.56641E-05,0.000428321,0.133807341,0.151625477
강북구수유3동,강북구,수유3동,767,0.047229453,0.000743771,0.000330565,0.000165282,0.181728028,0.186562539
강북구삼양동,강북구,삼양동,990,0.051487199,0.00062751,0,0.000470633,0.147778614,0.164878263
강북구미아동,강북구,미아동,739,0.04541946,0.00065001,0.000162503,0.000325005,0.154458663,0.170262035
강북구송중동,강북구,송중동,941,0.047002765,0.000500029,5.8827E-05,0.000205894,0.125389729,0.170862992
강북구송천동,강북구,송천동,1184,0.051466262,0.000464497,0.000185799,0.000309665,0.140030347,0.158207661
강북구삼각산동,강북구,삼각산동,505,0.035811476,8.68508E-05,0.000115801,0.000173702,0.185252736,0.133171212
강북구우이동,강북구,우이동,671,0.045182663,0.000920217,4.60109E-05,0.000322076,0.137618478,0.140563173
강북구인수동,강북구,인수동,1100,0.049195307,0.00064847,2.94759E-05,0.000265283,0.134321759,0.13626717
도봉구쌍문1동,도봉구,쌍문1동,261,0.045206093,0.000582437,8.96057E-05,0.000537634,0.131362007,0.148073477
도봉구쌍문2동,도봉구,쌍문2동,421,0.04381645,0.000874488,4.60257E-05,0.000368205,0.13931974,0.152851291
도봉구쌍문3동,도봉구,쌍문3동,464,0.042361592,0.00074599,5.3285E-05,0.000266425,0.142484148,0.152501732
도봉구쌍문4동,도봉구,쌍문4동,375,0.029222864,0.000183503,9.17515E-05,0.000504633,0.138315442,0.147811726
도봉구방학1동,도봉구,방학1동,302,0.043361686,0.000493097,0.000246548,0.000339004,0.147066075,0.148298817
도봉구방학2동,도봉구,방학2동,712,0.046750428,0.00058438,0,0.000208707,0.143047961,0.161163752
도봉구방학3동,도봉구,방학3동,438,0.031863203,0.000186881,0.000124587,0.000560643,0.112533483,0.127328225
도봉구창1동,도봉구,창1동,638,0.037123617,0.000383797,0.000174453,0.000279125,0.122919647,0.137713269
도봉구창2동,도봉구,창2동,592,0.037989848,0.000409849,3.15268E-05,0.000252215,0.134745736,0.144077682
도봉구창3동,도봉구,창3동,425,0.044315992,0.000621543,0,0.000372926,0.149045932,0.155820747
도봉구창4동,도봉구,창4동,479,0.032592161,0.000323656,0.000129462,0.00029129,0.113700359,0.131760365
도봉구창5동,도봉구,창5동,308,0.035573547,0.00025077,0.000179122,0.00050154,0.127749516,0.140574622
도봉구도봉1동,도봉구,도봉1동,727,0.062302135,0.000487053,8.11754E-05,0.000405877,0.131504181,0.149362773
도봉구도봉2동,도봉구,도봉2동,530,0.048132939,0.000445675,9.55019E-05,0.000445675,0.136090154,0.150160761
노원구월계1동,노원구,월계1동,626,0.042840024,0.000727553,0.000128392,0.000599161,0.12886245,0.168449884
