code,gu,dong,disable,fire,bank,seniorcenter,movingin,movingout,older,older2013
서대문구북가좌2동,서대문구,북가좌2동,1448,12,4,7,4549,5366,720,932
서대문구충현동,서대문구,충현동,786,16,11,4,2749,4054,173,727
서대문구북아현동,서대문구,북아현동,461,3,2,5,1495,2060,942,352
서대문구신촌동,서대문구,신촌동,549,43,15,5,4902,4894,330,510
서대문구연희동,서대문구,연희동,1527,37,10,10,5980,6756,869,1197
마포구용강동,마포구,용강동,549,9,11,8,2752,3325,419,476
마포구대흥동,마포구,대흥동,595,10,4,8,2912,3160,561,711
마포구염리동,마포구,염리동,763,9,1,8,2391,3037,562,627
마포구신수동,마포구,신수동,773,5,2,8,3144,4666,495,580
마포구서교동,마포구,서교동,811,45,27,8,6897,6685,600,756
마포구합정동,마포구,합정동,675,14,3,8,3707,4177,487,562
마포구망원1동,마포구,망원1동,979,5,2,8,4016,4438,596,688
마포구망원2동,마포구,망원2동,851,10,3,8,2922,3426,443,490
마포구연남동,마포구,연남동,678,14,1,8,3672,3956,497,583
마포구성산1동,마포구,성산1동,766,7,3,8,3815,3700,454,523
마포구성산2동,마포구,성산2동,1968,13,3,8,4661,5437,938,1096
마포구상암동,마포구,상암동,1286,20,12,8,4171,4389,376,450
마포구도화동,마포구,도화동,840,10,9,8,3150,3467,601,728
마포구서강동,마포구,서강동,714,13,4,8,4229,4735,465,553
마포구공덕동,마포구,공덕동,1595,17,13,8,5728,5985,1182,1349
마포구아현동,마포구,아현동,719,8,8,8,2707,2971,540,672
양천구목1동,양천구,목1동,726,15,16,15,4053,4357,331,352
양천구목2동,양천구,목2동,1020,14,2,14,5057,5152,575,567
양천구목3동,양천구,목3동,920,9,4,8,3704,3987,572,528
양천구목4동,양천구,목4동,910,13,3,9,4078,4318,414,465
양천구신월1동,양천구,신월1동,1280,8,4,5,3531,3875,599,653
양천구신월2동,양천구,신월2동,972,7,2,10,3454,3085,398,429
양천구신월3동,양천구,신월3동,933,11,1,5,2879,3631,548,578
양천구신월4동,양천구,신월4동,849,9,1,12,2714,2930,337,292
양천구신월5동,양천구,신월5동,748,9,1,6,2533,2482,318,346
양천구신월6동,양천구,신월6동,582,5,2,8,1643,2088,312,321
양천구신월7동,양천구,신월7동,1116,16,2,8,2929,3506,541,595
양천구신정1동,양천구,신정1동,508,3,6,5,2088,3867,294,290
양천구신정2동,양천구,신정2동,794,11,2,15,2526,2926,357,375
양천구신정3동,양천구,신정3동,2382,24,5,29,7185,7139,1018,1059
양천구신정6동,양천구,신정6동,537,5,8,7,3084,3527,266,285
양천구신정7동,양천구,신정7동,1388,12,5,13,3569,3938,714,793
양천구목5동,양천구,목5동,781,8,14,14,4811,5215,521,496
양천구신정4동,양천구,신정4동,1660,30,8,9,5674,5923,746,839
강서구염창동,강서구,염창동,1221,15,5,33,4909,5205,453,537
강서구등촌1동,강서구,등촌1동,770,8,4,17,4316,4021,486,520
강서구등촌2동,강서구,등촌2동,718,6,2,9,3010,3395,309,317
강서구등촌3동,강서구,등촌3동,3678,15,8,17,4153,4547,1236,1417
강서구화곡본동,강서구,화곡본동,1455,17,2,7,6200,6434,605,680
강서구화곡2동,강서구,화곡2동,809,8,0,3,3351,3548,350,416
강서구화곡3동,강서구,화곡3동,870,7,3,5,3655,3786,391,443
강서구화곡4동,강서구,화곡4동,944,13,3,4,3395,3465,493,560
강서구화곡6동,강서구,화곡6동,995,24,6,8,4179,4140,439,480
강서구화곡8동,강서구,화곡8동,1057,10,3,5,4471,4791,515,508
강서구가양1동,강서구,가양1동,653,9,2,14,2666,3054,256,285
강서구가양2동,강서구,가양2동,2291,9,3,6,2112,2377,716,820
강서구가양3동,강서구,가양3동,1640,3,0,8,2405,3003,622,681
강서구발산1동,강서구,발산1동,1314,23,8,10,4608,4903,463,463
강서구공항동,강서구,공항동,983,18,10,6,3418,3668,618,689
강서구방화1동,강서구,방화1동,1269,16,4,18,4500,4785,616,734
강서구방화2동,강서구,방화2동,1548,30,4,12,3745,3946,3146,954
강서구방화3동,강서구,방화3동,1969,9,2,17,3541,3994,841,950
강서구화곡1동,강서구,화곡1동,2127,30,3,8,8512,8745,901,1084
강서구우장산동,강서구,우장산동,1207,12,9,8,5477,5904,535,675
구로구신도림동,구로구,신도림동,1056,11,8,8,4564,4873,425,504
구로구구로1동,구로구,구로1동,586,10,2,8,2601,3006,274,297
구로구구로3동,구로구,구로3동,944,19,24,8,5758,5872,2237,596
구로구구로4동,구로구,구로4동,1310,23,5,8,4219,4629,769,1101
구로구구로5동,구로구,구로5동,1169,13,6,8,5218,5304,3115,870
구로구고척1동,구로구,고척1동,1111,14,3,8,2755,3265,521,645
구로구고척2동,구로구,고척2동,1334,16,2,8,3946,4164,672,967
