code,gu,dong,movingin,movingout,gas,disable,seniorcenter,bank,totalpopulation(2010),movingin ration,movingout ration,gasratio,older,orderratio,disableratio
용산구후암동,용산구,후암동,2763,3072,8022,934,6,2,17771,0.155478026,0.172865905,0.4514096,728,0.040965618,0.052557538
성북구정릉3동,성북구,정릉3동,2492,2884,5746,844,4,1,17715,0.140671747,0.162799887,0.324357889,725,0.040925769,0.04764324
종로구혜화동,종로구,혜화동,3601,3864,10478,631,5,6,12773,0.281922806,0.302513114,0.820324121,519,0.040632584,0.04940108
성북구성북동,성북구,성북동,2895,3066,7238,683,7,4,16835,0.171963172,0.182120582,0.42993763,674,0.04003564,0.040570241
강북구송천동,강북구,송천동,4522,5109,12632,1662,10,6,29833,0.151577113,0.17125331,0.423423725,1184,0.039687594,0.05571012
노원구상계1동,노원구,상계1동,5165,5602,14773,1954,10,2,42763,0.120781984,0.131001099,0.345462199,1647,0.038514604,0.045693707
노원구상계3.4동,노원구,상계3.4동,4016,5010,12418,2180,9,1,37754,0.106372835,0.132701171,0.32891879,1450,0.038406526,0.057742226
성북구길음2동,성북구,길음2동,3279,2867,5867,994,5,3,18480,0.177435065,0.155140693,0.317478355,700,0.037878788,0.053787879
중랑구중화2동,중랑구,중화2동,4019,4788,13974,1651,5,4,29707,0.135287979,0.161174134,0.470394183,1121,0.037735214,0.055576127
종로구창신2동,종로구,창신2동,1161,1567,4898,588,3,2,10554,0.110005685,0.148474512,0.464089445,394,0.037331817,0.055713474
용산구용산2가동,용산구,용산2가동,1509,1917,6211,581,5,2,12926,0.116741451,0.14830574,0.48050441,476,0.036825004,0.044948166
노원구월계2동,노원구,월계2동,3045,3717,12255,2216,16,1,30734,0.099075942,0.120940977,0.398744062,1109,0.036083816,0.072102557
종로구숭인1동,종로구,숭인1동,1162,1367,2650,314,2,1,7169,0.162086762,0.190682104,0.369647092,255,0.035569814,0.043799693
강북구인수동,강북구,인수동,4557,4623,12351,1669,9,1,31041,0.146805837,0.148932058,0.397893109,1100,0.035437003,0.053767598
성동구왕십리도선동,성동구,왕십리도선동,1978,1968,5417,638,7,4,12346,0.160213834,0.159403855,0.438765592,435,0.035234084,0.051676656
용산구서빙고동,용산구,서빙고동,2180,2371,5277,422,5,2,10448,0.208652374,0.226933384,0.505072741,366,0.035030628,0.040390505
중랑구망우본동,중랑구,망우본동,5538,5103,13250,1826,12,5,31608,0.175208808,0.161446469,0.419197671,1099,0.034769679,0.057770185
강북구수유1동,강북구,수유1동,3482,3824,8862,1181,6,4,21934,0.158748974,0.174341205,0.404030273,762,0.034740585,0.053843348
중구장충동,중구,장충동,1154,1189,3998,228,2,4,5490,0.210200364,0.216575592,0.728233151,190,0.034608379,0.041530055
중랑구상봉2동,중랑구,상봉2동,3463,3671,8749,913,4,4,17571,0.197086108,0.208923795,0.497922714,601,0.034204086,0.051960617
강동구둔촌1동,강동구,둔촌1동,2849,3050,11400,455,8,2,19447,0.146500746,0.15683653,0.58620867,665,0.034195506,0.023396925
강북구우이동,강북구,우이동,2991,3055,7715,982,7,1,19758,0.151381719,0.154620913,0.390474744,671,0.033960927,0.049701387
강북구수유3동,강북구,수유3동,4398,4515,10657,1143,4,8,22860,0.192388451,0.197506562,0.466185477,767,0.033552056,0.05
강북구삼양동,강북구,삼양동,4710,5255,11173,1641,15,0,29699,0.158591198,0.176941985,0.376207953,990,0.033334456,0.055254386
성북구동선동,성북구,동선동,3639,3357,8665,623,5,3,15109,0.240849825,0.222185452,0.573499239,503,0.033291416,0.041233702
종로구청운효자동,종로구,청운효자동,2248,2444,5245,630,2,4,13880,0.161959654,0.176080692,0.377881844,455,0.03278098,0.045389049
금천구시흥5동,금천구,시흥5동,2911,3498,9681,1249,7,1,23679,0.122935935,0.147725833,0.408843279,776,0.032771654,0.05274716
도봉구도봉1동,도봉구,도봉1동,3240,3680,9295,1535,10,2,22718,0.142618188,0.16198609,0.409146932,727,0.032001056,0.067567568
금천구시흥1동,금천구,시흥1동,6613,5028,15525,1605,10,10,30254,0.218582667,0.1661929,0.513155285,967,0.031962716,0.053050836
용산구효창동,용산구,효창동,1842,1967,4162,409,5,1,10929,0.16854241,0.17997987,0.380821667,346,0.031658889,0.037423369
성북구삼선동,성북구,삼선동,5045,4131,11769,1095,7,9,25019,0.201646748,0.165114513,0.470402494,791,0.031615972,0.043766737
강북구번2동,강북구,번2동,2281,2659,7143,1355,9,0,19637,0.116158273,0.135407649,0.363752101,617,0.031420278,0.069002393
도봉구방학2동,도봉구,방학2동,3427,3861,9370,1120,5,0,22705,0.150935917,0.17005065,0.412684431,712,0.031358732,0.049328342
